,paper_id,type,title,authors,doi,isbn,copyright,keywords,pages,id,source,date,abstract,disciplines,publisher
216,320777,,Use of Recording Pressure Gages in Drill-Stem Tests,R.S. Christie(Amerada Petroleum Corp.),,,,,,API-36-008,"Drilling and Production Practice, 1 January, New York, New York",1936,"The author defines briefly the drill-stem test, emphasizing the importance of obtaining a pressure record when making this test, and discusses at length the interpretation of records m obtained.A drill-stem test may be made to obtain indications of the potentialities of a suspected oil or gas sand, to test for water shut-off after cementing pipe or to determine the casing point in a known producing horizon. The drill-stem test is obtained by running, on the bottom of the drill pipe, a valve which can be opened and closed from the surface. All the formations in the hole are packed off with the exception of that section of the hole to be tested. The drill pipe is run into the hole with the testing-tool valve closed. After the packer has been set, the valve is opened; and liquid or gas at the testing point enters the drill pipe. In all cases the success of the test depends on the successful operation of the testing tool. Whether or not the valve functions properly can be quite positively determined on the surface for shallower wells, but becomes less positive with increasing depth. It is important to obtain as much information as possible on each test. In a test for water shut-off there is little or no open hole below the casing in the well close to the point of testing and, consequently, small hazard. On the other hand, a formation test or casing-point test is usually made with several hundred feet of open hole, with resultant danger of sticking the drill pipe by settling cuttings or caving. If it becomes necessary to run the test several times, the walls may be weakened and cause trouble when drilling is resumed. A record of the changes in pressure below the testing tool will make more positive the information ordinarily obtained by such a test, and frequently give information that could not otherwise be obtained. A recording pressure gage can be placed into a special container, which can be a part of the anchor of the testing tool. Fig. 1 shows one type of container.Purpose of TestThe primary purpose of a drill-stem test is to determine whether a given formation contains gas, oil, or water. The test may give negative results in the face of other positive indications. This is particularly true in deep holes, as it is not always possible to ascertain whether the packer is holding and the valve functioning properly. When the valve is opened and the fluid does not lower appreciably at the top of the hole, it is assumed the test is successful; but this is not always true, because the fluid may drop due to leaky tool joints or because of loss into some formation, or may fluctuate due to gas or air pockets-all despite the fact that the packer may have held and the valve opened to give a test. To eliminate any doubt as to the mechanical operations of the tester, a recording pressure gags below the tester will record differences in pressures occasioned by the operation of the tester.",,American Petroleum Institute
217,320778,,Porosity and Saturation Methods,Kenneth B. Barnes(Gulf Oil Corp.),,,,,,API-36-191,"Drilling and Production Practice, 1 January, New York, New York",1936,"Prefacing his paper with a brief statement regarding the application of porosity, saturation, and permeability tests of cores to old and new fields, the author describes the taking of cores; then describes various methods of laboratory analysis, identifying the retort method as the preferred method for making saturation tests. Several methods for determining. porosity are described; typical calculations are included, with comments on interpretation of results.The widespread interest in, and the increased use of various physical tests made on oil-sand cores in the past few years has arisen chiefly through the wider application of secondary recovery methods, and in the more careful attention given to obtaining basic data for use in various oil-production problems in the flushfield category. Considering the secondary recovery methods, since the advent of five-spot water-flood development in the shallow Mid Continent fields about two years ago, it is today an established practice to drill exploratory holes to core the oil sand at key locations on a property and to analyze the core for oil content, porosity, and permeability. The future development of the property in large part is predicated on the values obtained, as the calculations on probable future profits, the engineering data to judge well spacings, pressure plant needs, and water demands, all originate from the core tests. Later, during development, more wells are cored-usually not less than 1 to 40 acres, and often closer-to supply more data and to permit closer scrutiny of the immediate area. This procedure likewise is commonly followed in gas-repressuring work of the pattern type where close well spacings are used. Porosity and saturation tests enter into such flushfield problems as the estimation of oil reserves, porosity for calculating gas reserve, saturation tests in detecting productive oil sands in wildcatting, and in the determination of casing points and water levels. The common core tests are porosity, saturation, and permeability. The unit value of permeability, the darcy, and the test procedure, apparatuses and calculation are well known, due to the efforts of members of the American Petroleum Institute, several colleges and universities, and various oil companies. Much of the recent scientific work on permeability has been specifically devoted to oil sands. In contradistinction, the development of porosity methods has originated as much in other industrial fields as in the oil- and gas-production industry. These porosity methods have all more or less been adapted to the work on oil sands, with both satisfactory and unsatisfactory results. In regard to porosity, this paper will in part set forth the results and experiences of various laboratories in testing Mid Continent sands, and give the specific details of several proven test methods, rather than to present ally basically new methods. The paper likewise will have the same purpose in the discussion of saturation tests, and for both tests is a continuation of the work of the Mid Continent Sub-committee on Saturation Tests, of the Institute's Topical Committee on Production Technology. This sub-committee, appointed in 1935, has published two reports of its work to date.1a,2",,American Petroleum Institute
218,320779,,Tests Indicate Sucker-Rod Loads May Be Reduced,J.F. Eaton(Jarecki Afanufacturing Co.),,,,,,API-36-234,"Drilling and Production Practice, 1 January, New York, New York",1936,"Economic factors in the production of many wells by the walking-bean pumping method often require the sucker rods to be so highly stressed that almost no safety factor over their endurance limit is allowed, and an excessively high rate of failure results. By floating the rods on rubber cushions, the author effected a reduction in polished-rod load and, hence, a reduction in rod stress, without sacrificing production. The author infers that further reductions in rod stress might be obtained, without reducing pumping speed or length of stroke, if polished-rod motion could be made independent of walking-beam motion, and if polished-rock velocity could vary inversely as the rod load.INTRODUCTIONThe maximum depth from which oil may be lifted by the sucker-rod pumping method is limited by the maximum allowable .working stress in the sucker rods. In pumping very deep wells, or in Producing large volumes of fluid from moderate depths, this maximum allowable working or fatigue stress may be reached before the rate of production of oil is sufficient to make operation of the well profitable, or even to Pay lifting costs. Although the fatigue limit of sucker rods has been considerably increased, and remarkable performance attained by the application of special alloy rods to meet individual pumping conditions, it remains a fact that, in many Mid Continent fields, sucker rods are operated above their maximum allowable fatigue limit. This condition must exist in order to produce enough oil to pay operating costs, and the resulting excessive rod breakage is to be expected. The present practice in some fields of computing daily allowable production from the results of a potential test requires sucker rods to operate almost at the breaking point during the test. It is a well-known fact that sucker-rod loads and, hence, rod failures can be reduced by reducing the Pumping speed or by reducing the length of stroke, or both. Reduction in load will also be obtained if the Pump-plunger diameter is reduced. However, reduction of speed, stroke or plunger diameter also has the effect reducing the production of the well. Recently a series of dynamometer tests has been made on pumping wells having the sucker rods supported on rubber cushions, so that the rods were in reality floating on rubber. The rubber cushions were originally intended merely to cushion shock loads and to dampen vibrations, but further study revealed that they had an important effect on the motion imparted to the sucker rods by the walking beam, and that rod loads were reduced without loss of production. With present walking-beam pumping units used to actuate sucker rods, the polished-rod motion is forced to coincide with the motion of the end of the walking beam. This motion is approximately simple-harmonic; but, due to pitman angularity and to the fact that the crank seldom, if ever, rotates at constant angular velocity the polished rod does not have true simple harmonic motion. However, since the following discussion concerns only the effect of small momentary variations of the polished-rod from the general reciprocating motion of the beam, it is not important that the walking-beam motion be exactly defined, and for the purposes of the present discussion it will be referred to as approximate simple-harmonic motion. ",,American Petroleum Institute
219,320780,,Importance of Compression Yield Strength in Establishing Setting Depths for Casing,T. McLean Jasper(A.O . Smith Corp.),,,,,,API-36-250,"Drilling and Production Practice, 1 January, New York, New York",1936,"Higher compression yield strength in the transverse direction means increased collapse resistance and setting depth of casing. Higher tension yield strength in the longitudinal direction, coupled with this higher compression yield strength, means increased pull-out strength of threaded and coupled casing. This paper outlines the importance of these higher yield strengths, and describes methods for obtaining them. This paper also shows the need for revision of A.P.I. setting depths for casing as published in Supplement NO. 1 (January 1934) to A.P.I. Code No. 5. ? Correct setting-depth values are indicated in Fig. 4 of the paper. This key chart is based on mathematical analysis, and corroborated by some 500 collapse and correlated tests.The production of suitable casing for deep-well operation is a problem which has become increasingly important to the oil-producing industry, because greater depths of drilling have brought to light large increases in the available oil supply both in the United States and in other countries. The pressure on the outside of casing in oil wells is considered to be directly proportional to the depth of the well, and anything which will economically increase the collapse strength of the casing without increasing the thickness will add to the economical depth to which such casing can be set into the ground. The most important physical property of casing in resisting collapsing pressure is the compression yield point of the steel in the direction transverse to the axis of the casing. The most important dimensional properties in resisting the collapsing pressure are the diameter and thickness of the casing. These properties may be combined in the ratio D/t, or the outside diameter divided by the thickness. As the setting depth is increased by raising the collapse value of the casing, it becomes imperative that the pull-oat strength also be increased. The generally-accepted setting-depth values, based on collapse, which are accepted by the American Petroleum Institute are in the opinion of the author in need of revision. These values do not conform to the test results obtained for the higher D/t ratios, and do not accommodate all the various compression-yield-point steels for the lower D/t ratios. This paper contains a general discussion of the theory of collapse, some indications of the methods whereby the collapse resistance of casing can be increased, arid outlines the method for arriving at appropriate setting depths for casing. High compression yield strength in casing can be obtained by any one of the following methods: 1, using a steel with a high natural compression yield strength; 2, using an alloy steel susceptible to having the yield strength increased by heat treatment; or, 3, by using steels as now applied to the industry and raising the yield strength by mechanical means. This increased compression yield strength, obtained by any of the above methods, is accompanied by a correspondingly increased tensile yield strength in the longitudinal direction. The higher compression yield strength in the transverse direction is equivalent to a greater collapse setting depth.",,American Petroleum Institute
220,320781,,Welded Joints for Oil-Well Casing,Marvin Cook(Humble Oil Refining Company),,,,,,API-36-278,"Drilling and Production Practice, 1 January, New York, New York",1936,"Heretofore safe depth for setting casing of large diameter was limited by the collapse rather than the joint strength of the tube. The development of deeper drilling .establishes a trend toward the use of casing of smaller diameter, the safe depth of which is limited by the joint rather than the collapse strength. This condition will permit the use of a thinner wall to resist collapse, but in turn it will require a joint of higher efficiency in tension than that of the regular A.P.I. design. The need of better joints for casing is further substantiated by experience in several areas where oil strings, set to a depth of approximately 9,000 ft. and under internal pressures higher than 3,000 Ib. per sq. in., consistently obtain considerable leakage through the threaded couplings. To meet these conditions the several manufacturers offer improved joints, mostly designed to obtain advantages offered by an upset, shouldered joint with a heavy power thread. To use an often repeated expression, the ideal joint to meet these conditions would be one of a flush design with 100 per cent joint strength. Such a requirement suggests the welded joint; and while neither operating technique nor welding material has advanced near to the point of perfection, from the experience in the field and in consideration of its economic advantage, it is believed that the welded joint has excellent prospects, and its development should be encouraged.FOREWORDThe development of new methods and materials following shortly after the demand for them has been the course in the development of tubular goods for service in oil wells. Conditions demanding the use of casing have varied from setting depths of somewhat less than 100 ft. in earlier times to depths of somewhat over 10,000 ft. at the present time. Similarly, the development of casing has progressed from the earlier times when it was fabricated from thin sheets of low-tensile material, rolled and riveted by hand in the local tinner's shop, to recent times when it is fabricated from high-tensile material under the precisely-controlled processes of the great mills. Although the development of casing has kept abreast of the demands, it is generally admitted that the present production trends have presented a problem in casing couplings that has not been adequately solved. There are on the market a number of designs for couplings which possess definite improvements over the A.P.I. couplings, and on which further development should be encouraged. However, in a search for a joint of flush design with 100 per cent efficiency, it is plausible to turn to welding with the hope that the success of welding pipe joints in associated industries will be repeated in the oil-production department. The purpose of this discussion is to point out the need for and the possibilities of the development of welded joints for casing, and also some of the problems to be encountered in that development.DATADesigns of Threaded CouplingsThe A.P.I. threaded coupling ? theretofore has adequately met the demands from the service conditions imposed upon it and, in addition, it has the economic advantage of simplicity in design which readily allows it to be reconditioned in local service shops.",,American Petroleum Institute
221,320782,,Investigation of Angle Columns as Used for Derrick Legs,S.B. Settle(The Parkersburp Rig and Reel Co.),,,,,,API-36-289,"Drilling and Production Practice, 1 January, New York, New York",1936,"This paper reviews the present practice for determining the capacities of A.P.I. derricks; records the results of tests conducted in the laboratory on full-size angle-leg sections; shows that there is a discrepancy in the existing A.P.I. column formulas; and points to the need of further investigation for the purpose of evolving a more correct method of rating derricks so that the derricks safe load capacities will be commensurate to the strength of the leg sections.FOREWORDThe standardization of rigs and derricks has proved to be one of the most outstanding accomplishments of the American Petroleum Institute. It has been beneficial to the equipment manufacturer as well as to the oil producer.It is probable that the standardization of working stresses, by the American Petroleum Institute, for design purposes has done more to insure correctly designed derricks than any other factor. This adoption of judicious formulas not only safeguards the ultimate user of steel derricks, but protects reputable manufacturers against unscrupulous or incompetent engineering design.Discussion of Column FormulasIn reviewing the method of arriving at the safe load capacity of a derrick, we quote from A.P.I. specifications for standard rigs and derrick, ?- as follows: . . . . The A.P.I. safe load capacity of an A.P.I. derrick . . . . shall be determined by computing the sum of the strengths of the four leg membersat their weakest section. These leg members must be designed in accordance with the A.P.I. column formulas.? The maximum unsupported length L of the leg (column) is designated as 7 ft.?The A.P.I. column formula, for regular structural steel, is the same as the American Institute of Steel Construction column formula (prior to the 1936 revision). This is a Rankine-Gordon type of formula, and during the past few years it has been generally accepted for structural-steel design-with the exception of the 1935 specifications of the American Railway Engineering Association and the practice of a prominent fabricating company, who favor a parabolic type of formulasuch as the following:(mathematical equation available in full paper)The progress in manufacturing processes during the last decade has brought about the production of steels of much higher quality than that produced in former years. As a result, the American Institute of Steel Construction has recently published, in pamphlet form,&sect; a 1936 revision to their specifications. This revision is a supplement to the latest issue of the A.I.S.C.Handbook: Steel Construction. The new specifications call for a basic unit tensile stress (on net section) of 20,000 lb. per sq. in. The new unit stress for compression is derived from the formulas:(mathematical equation available in full paper)The Institute's derrick committee has been awaiting the new A.I.S.C. specifications for structural steel and, when available, will consider their application to derrick structures.Table 6 of this paper lists various formulas (including the new A.I.S.C. formula) now governing the design of structural-steel columns. Fig. 5 shows graphically the relationship of the various curves derived from the formulas.",,American Petroleum Institute
222,320783,,The Relation of Mechanical Testing to Steel Performance,William Howard Clapp(California Institute of Technology),,,,,,API-36-310,"Drilling and Production Practice, 1 January, New York, New York",1936,"To what extent are the mechanical properties of steel, as determined by the standard laboratory tests, actual measures of steel performance in service? The author would discourage the tendency of steel salesmen to emphasize the superior mechanical properties of their brands of machinery steel. The various mechanical properties of a large number of these alloy steels are compared; and it is shown that the differences in average values of any one property, such as yield point, is much less than the variation from average which may occur in any one type of steel. The uncertainty regarding the. physical factors which determine yielding is discussed. Various types of failure are then listed, and it is shown that the mechanical properties of the steel give us an incomplete picture regarding each type' of failure. Finally, the author makes a plea for a rating of the various steels on a basis ofdependabilityin which a high coefficient of dependability would correspond to a narrow range of variation in some particular property after the steel has been heat-treated to give a desired value of that property. The most certain evidence of the behavior of metals under a given set of working conditions consists in the accumulated results of many trials under those conditions. Jeffries and Archer,Science of Metals.Is there a best steel to use for a given service? Is there a best steel for elevator links or drill pipe or sucker rods? If so, are there any ways of determining this steel other than the expensive and time-consuming one of trial and error? To what extent are the results of mechanical testing an index of performance? These questions have an importance today which was little realized a few years ago. Oil wells are spudded in today to tap sands some two miles below the surface. Soon it may be necessary to pump from these depths. In spite of the improvement in engineering steels, equipment is being forced closer and closer to the limits of performance.For uses where the service is especially severe there is a wide diversity of opinion as to the best type of steel to be used. Steel users are confused by the rival claims of enthusiastic steel salesmen and by the contradictory conclusions arrived at by different operators. If a steel is being worked close to the limits of its performance, a dozen steel salesmen are at hand to assure you that they have a steel made especially to meet this particular situation and to talk learnedly of improved physicals and the proper proportioning of alloying elements. Sometimes a change to a different type of steel results in improved performance; frequently a change to a more expensive steel results in even poorer performance. Why this is so, nobody seems to know; but the new steel gets a black eye, and the general confusion deepens. We need a clearer picture of the relative importance of those factors upon which the selection of a steel is usually based. If our present knowledge of the mechanical properties of a steel gives us an incomplete picture of its performance, it will be worth something to know that.",,American Petroleum Institute
223,320784,,Vanadium Steels for the Oil Industry,Jerome Strauss(Vanadium Corp. of America)|A.W. Demmler(Vanadium Corp. of America),,,,,,API-36-322,"Drilling and Production Practice, 1 January, New York, New York",1936,"The authors present briefly the characteristics of vanadium steels and irons used in, or available for use in the oil industry, giving data on chemical and physical properties. They indicate that the uniformity of these steels and their contribution to useful strength and ability to withstand abuse warrant their greater utilization. Applications of various vanadium alloy steels to the various types of oil-field equipment are given.INTRODUCTIONThe consumption of ferrous metals in the oil and gas industry has been increasing practically without interruption for many years, and today represents an appreciable percentage of the total iron and steel consumed by all industries. Of this tonnage only a small proportion is alloy steel, and yet it appears that this small volume is growing at an even more rapid rate than the total of carbon and alloy iron and steel combined. In this alloy-steel tonnage, vanadium steels have always been included; and it is, therefore, of interest to point out those applications for which these steels with a vanadium content are especially suited. In spite of the rapid growth of rotary drilling during recent years, the older cable-tool drilling rigs are still in quite wide use. Each year a considerable quantity of steel is consumed for drill bits, stems, jars, crown blocks, etc., in this earlier or percussion-drilling method. In the rotary practice, there are also drill bits, collars, tool joints, kellys, crown and traveling blocks, etc. To keep these items working requires drilling engines, drawworks, rotary tables, mud pumps, etc. Add drill pipe and casings for these wells, and the complete story is still not told. Statistics indicate that there are more than 275,000 pumping wells in the United States alone; all these require sucker rods as well a s pull rods in many instances where the wells are pumped in groups from one engine. In flowing wells these parts are not needed; but, in a sense, valves replace-them. Once the oil is above ground, the refinery and its metal requirements must be considered. Here pumps, valves, pressure vessels, cracking stills, heat exchangers, etc., command major attention. Operating temperatures range from perhaps -75 deg. F. to more than 1,400 deg. F., while pressures may be from partial vacuum to 2,000 Ib. per sq. in., or higher. Aside, from these limitations, corrosion is often a serious detail, and in the refinery this is much more serious than in the field. This initial brief review serves as a reminder of, the multiplicity of conditions under which' metals must serve the oil and gas industry, and as a warning that the solution of a problem is often not simple; and that, further, no small number of metals can satisfactorily meet all the varied needs.Drill Jars and BitsIn percussion drilling, saving of weight is of no great importance .except in the engine and the crown block. Consequently, higher-strength materials in the tool parts, with their somewhat higher price per pound, cannot reinforce their position by a corresponding weight reduction.",,American Petroleum Institute
224,320785,,Nickel-Alloy Steels in Drilling Equipment,Albert G. Zima(International Nickel Co.),,,,,,API-36-330,"Drilling and Production Practice, 1 January, New York, New York",1936,"Concise descriptions, with tables of physical properties, are given of the alloy steels used in the manufacture of drilling equipment such as bits, drill collars, kellys, tool joints, chain, drawworks, blocks, swivels, pumps, and other items such as control fittings' and sucker rods.NICKEL-ALLOY STEELS IN PETROLEUM-PRODUCTION EQUIPMENTThe steels used in modern oil-production equipment provide dependable performance under widely varying conditions of service. Combinations of highstatic and, dynamic stresses involving fatigue, impact, shear or bending are often encountered simultaneously even under normal conditions; and when emergencies arise, their severity may be increased several-fold.The nickel-alloy steels, through their ability to meet these unusual requirements, have gained an excellent reputation in this field. Their toughness at extreme hardness, and their ability to resist high-fatigue and impact stresses, under conditions which often involve severe over-stressing, have characterized them, as being well fitted for the grueling service encountered in the oil fields. Some of these steels and their typical applications are described in the following paragraphs.Drilling ToolsSince compactness is an essential feature in the design of drilling tools, the unit stresses imposed on these parts in service are usually great and frequently accompanied by over-stressing. Rock bits are subjected to severe abrasion accompanied by high-shear, torsional, and impact stresses. In order to satisfy these requirements modern rotary rock bits, coring heads, and reamers are designed as composite units, made up of three or more types of steel each selected for its adaptability to meet some particular phase of this service.On these tools the bodies function as supporting heads for the cutters, and are often made of nickel-alloy steel castings containing 0.35-0.40 .per cent carbon, 1.00-1.25 per cent nickel, 0.40-0.60 per cent chromium. Typical mechanical properties after oil quenching and tempering are as follows:(available in full paper)A water-hardened cast-nickel-molybdenuin steel, containing approximately 0.25-0.30 per cent carbon, 0.60-0.80 per cent manganese, 1.00-1.50 per cent nickel, and 0.25-0.30 per cent molybdenum, is also used by some manufacturers who claim that this steel offers advantages from the standpoint of welding. This is important where it is the practice to re-dress or re-build tools by welding. After water quenching and tempering, mechanical properties similar to those quoted for the oil-quenched nickel-chromium steel just described are obtained.Reamer bodies are usually forged from an alloy steel such as SAE 3140. To insure sufficient hardenability in the heavier sections, however, a modified composition known as SAE X-3140 is coming into extensive use. This steel is similar .in composition to SAE 3140, except that the chromium limits have been raised to 0.60-0.90 per cent. Data showing mechanical properties of these steels will be found in Table 2.Rock-bit cutters are generally of the movable type, i.e., toothed cones or serrated cylinders or discs mounted on the head or body by means of suitable pins or bushings. These cutters are usually machined from low carbon nickel-alloy steel forgings (SAE 3115, 4615, 2315) and subsequently case-hardened to impart the necessary wear resistance.",,American Petroleum Institute
225,320786,,Molybdenum in Modern Oil-Drilling and -Production Equipment,John E. Wilson(Climax Blolybdenum Co.),,,,,,API-36-340,"Drilling and Production Practice, 1 January, New York, New York",1936,"The trend to deeper oil wells has necessitated an improvement in the physical properties of oil-drilling and -production equipment. In many instances an improvement has been obtained through the use of molybdenum. This paper discusses the effect of mo1ybdenum in cast iron and steel, together with its application in oil-well equipment.INTRODUCTIONThe modern trend to deep-well drilling has placed increasing demands on both the drilling and production equipment. Greater loads and speeds encountered in both the surface and the sub-surface equipment, resulting from the longer strings and demand for reduction in drilling time, have made necessary increases in the yield strength, fatigue strength, shock resistance, and wear resistance of the equipment. When corrosion has become a problem in the deep wells (either from brine or sulfur compounds) there has been a demand for increased resistance to corrosion fatigue; likewise increased pressures, which are encountered both in drilling and flowing wells, have required pressure valves and fittings of increased strength and resistance to impact. In many instances a ' modification of design has overcome the ensuing problems. Due to the nature of the operations, however, the designer has had very definite limitations; and, accordingly, a great deal of attention has been given to the nature of the material employed. Attempts were first made to meet those conditions demanding increased strength by varying the carbon content and by changing the heat treatment. In many cases the resultant increase in strength was insufficient to cope with the situation. In others, it was soon noticed that the increases in strength were gained at the expense of toughness and ductility as measured by impact properties, elongation, and reduction of area. It has been the place of alloys to obtain these combinations of properties in steel, as well as to improve in some cases a single property not obtainable by plain carbon steel. Among those alloys that received rapid recognition because of their noticeable improvement over unalloyed steel and cast iron have been the alloys of molybdenum. To understand better the part molybdenum has assumed, it is necessary to have a general knowledge of its effect in steel and cast iron.STEELMolybdenum as an alloying element in the iron-carbon system is soluble in both a and &iquest; iron, and forms the carbide Mo2C. The critical points are raised slightly on heating, and are lowered markedly on cooling. This sluggishness which molybdenum imparts to steel, permitting the use of higher temperatures during heat treating and the use of less drastic quenching operations, is likewise responsible for the grain refinement and depth hardness that is obtained through its application. The effect of molybdenum additions to steel is reflected in a marked increase in the ultimate and yield strengths, without a corresponding loss in elongation and reduction of area. A comparison of the physical properties of a water-quenched SAE 1040 steel with a water-quenched carbon-molybdenum steel is shown by the curves A and B in Fig. 1, 2, 3, and 4. It can be noticed in the plain carbon steel (curve B) that there is a marked loss in the ductility with a corresponding increase in the ultimate and yield strengths; while the addition of molybdenum, illustrated by curve A, increases the tensile strength approximately 30 per cent for the same elongation, and approximately 42 per cent for the same reduction of area.",,American Petroleum Institute
226,320787,,Degree of Reduction of Sediments in the East Texas Basin as an Index of Source Beds,Parker R. Trask(U.S. Geological Surrey)|W. Ross Keyte(Marathon Oil Co.),,,,,,API-36-360,"Drilling and Production Practice, 1 January, New York, New York",1936,"The research project on source beds, sponsored jointly by the U. S. Geological Survey and the American Petroleum Institute, for the past 18 months has undertaken a study of the degree of reduction as an index of source beds. As indicated in a previous paper on this same subject presented before the Institute at the Los Angeles meeting, this index has to be tested in several petroliferous provinces before its value can be definitely ascertained. Thus far it has been found to prevail in two petroliferous regions, viz., the Rocky Mountains and the Mid Continent; as sediments regarded as source beds in these areas have been observed commonly to have a relatively high degree of reduction. In this paper this relationship is extended to the East Texas basin, as most of the sediments associated with oil zones there in general have been found to have a comparatively high-degree of reduction. The relationship, as in other areas, however, has not been observed to hold invariably. Each succeeding area in which the relationship is found to prevail strengthens the probability that it is real and not anomalous. If it is found to hold in the three remaining petroliferous provinces that are now being studied, viz., California, Gulf Coast, and Appalachian, the probability will be strong that it is a true relationship, with the result that it can be recommended to geologists for consideration in prospecting for oil.INTRODUCTIONThe American Petroleum Institute and the U. S. Geological Survey for the past several years have been undertaking an investigation of source beds. Source beds are the rocks in the ground that contain substances from which petroleum has been or can be generated. In prospecting for oil it is of distinct financial advantage to the oil operator to know the extent to which oil-forming rocks are present in the areas in which he is interested. The main object of this investigation on source beds is to develop criteria which will enable a geologist to recognize oil-forming rocks and thus help in lessening the cost of finding oil. In this work several possible means of recognizing source beds have been considered,1abut for the past 18 months attention has been concentrated on the degree of reduction of the sediments. The degree of reduction is a rough index of the oxygen content of the organic matter in the sediments. Petroleum consists of compounds low in oxygen and high in hydrogen. The materials from which it is generated, accordingly, may be expected to be relatively rich in reduced substances, i.e., in substances of relatively low oxygen content. An attempt is being made at present to ascertain if the state of reduction of sediments may be used as an index of source beds. In such work it would be highly desirable to analyze sediments definitely known to be source beds to see if they actually are reduced in comparison with ordinary sediments, but unfortunately no beds are known with absolute certainty to be source beds.",,American Petroleum Institute
227,370128,,Invasion Correction of Acoustic Logs In a Gas Reservoir,Shihong Chi(The University of Texas at Austin)|Jianghui Wu(The University of Texas at Austin)|Carlos Torres-Verdin(The University of Texas at Austin),,,,,,SEG-2004-0302,"2004 SEG Annual Meeting, 10-15 October, Denver, Colorado",2004,"Mud-filtrate invasion modifies the connate fluid distribution in rock formations penetrated by a well. This in turn perturbs the density and P- and S-wave velocities in the near-wellbore region. This study focuses on two wells in a gas reservoir. The radial saturation distribution of mud filtrate and connate formation fluids is first obtained by simulating the mud-filtrate invasion process in the near-wellbore region. Subsequently, radial profiles of the elastic properties are calculated by applying a Biot-Gassmann fluid substitution model. By making use of the radial profiles of density and P- and S-wave velocities, monopole and dipole acoustic array waveforms are simulated. An industry standard Slowness-Time-Coherence (STC) method is then used to extract P- and S-wave velocities from the simulated waveforms. Velocities from STC processing show that a sharp interface model does not reflect the true radial profiles of the near-wellbore elastic properties and a radially multi-layered model represents the invaded zone correctly. We also show that log correction with the Biot-Gassmann fluid substitution model for the deeply invaded well is valid.",,Society of Exploration Geophysicists
228,320788,,Means of Recognizing Source Beds,Parker D. Trask(U.S. Geological Surrey)|H. Whitman Patnode(U.S. Geological Surrey),,,,,,API-36-368,"Drilling and Production Practice, 1 January, New York, New York",1936,"Eight characteristics of sediments are considered as possible means of recognizing source beds: 1, quantity of organic matter in the sediments; 2, reducing power, which is a measure of ability of the sediments to reduce chromic acid; 3, color of sediments4; , volatility of sediments; 5, degree of volatility, which is a measure of the volatility with respect to the organic content; 6, ratio of carbon to nitrogen in the sediments; 7, oxidation factor, which is an index of the state of oxidation of the sediments, and is the ratio of the carbon content to the reducing power; and, 8, the nitrogen-reduction ratio, which is the ratio of the nitrogen content to the reducing power. Several thousand determinations of these characteristics have been made and averaged from more than 800 lithologic units from many areas in the California, Rocky Mountain, Mid-continent, East Texas, and Gulf Coast oil regions. The thickness of these units ranges from 50 ft. to 500 ft. Each of them has been classified according to its probable richness in source material of petroleum. Nearness to producing zones has been the basis of classification, as it seems more reasonable to assume that oil in general accumulates near where it is generated than to assume that it ordinarily accumulates far from where it is made. Three classes were made: 1, lithologic units within 250 ft. stratigraphically above or below an oil zone and less than 2 miles from an oil field; 2, (a) units within 500 ft. above or below an oil zone and within 15 miles of an oil field (excluding, of course, those that belong to the first class) and (b) units within 250 ft. stratigraphically of a horizon and more than 15 miles distant from an oil field, provided the unit is located within a region in which the horizon is generally productive of oil or yields significant quantity of oily substances when extracted with ether; and, 3, all other beds, viz., those more than 500 ft. above or below an oil horizon or more than 15 miles distant from an oil field and beds at greater distance if they are within 250 ft. of horizons that generally contain oil in the area. These three classes are designated in this report as productive, questionably productive, and barren. Productive units naturally may contain some beds that are poor in source material, and barren units may contain beds that are rich in source material ; but, on the whole, the productive units-because of their nearness to oil zones are more likely to be richer in mother substances of petroleum than are the barren units. Each of the eight characteristics was averaged for each of the three classes of productivity, for each of the five oil areas: California, Rocky Mountains, Mid Continent, East Texas, and Gulf Coast. The average organic content, of the productive and barren units was found to be approximately the same in each region studied, from which it is inferred that the quantity of organic matter in a sediment probably is not a reliable guide of the ability of the sediments to generate oil.",,American Petroleum Institute
